TIME,C,C#,D,Eb,E,F,F#,G,Ab,A,Bb,B
0.000000,0.418923,0.592175,0.766549,1.000000,0.861261,0.497703,0.977052,0.991315,0.794134,0.498250,0.313653,0.281679
0.023220,0.251553,0.351832,0.461770,0.658319,0.638292,0.385795,0.851022,1.000000,0.782112,0.468465,0.288485,0.188232
0.046440,0.155262,0.259629,0.345395,0.478117,0.504519,0.356732,0.799959,1.000000,0.708712,0.441543,0.282561,0.151829
0.069660,0.124019,0.232470,0.318453,0.453043,0.490797,0.357644,0.783892,1.000000,0.619801,0.407317,0.274838,0.142885
0.092880,0.118361,0.221958,0.308401,0.462806,0.540810,0.402416,0.784485,1.000000,0.526489,0.365063,0.257975,0.140120
0.116100,0.120789,0.218935,0.298927,0.471951,0.616804,0.438234,0.785461,1.000000,0.463853,0.334679,0.240347,0.139071
0.139320,0.134735,0.233045,0.295990,0.475959,0.699478,0.451885,0.795671,1.000000,0.434550,0.319581,0.235495,0.142858
0.162540,0.148720,0.248538,0.278404,0.455627,0.741451,0.437443,0.797139,1.000000,0.412312,0.309887,0.242575,0.142617
0.185760,0.185399,0.280618,0.283343,0.430447,0.762940,0.464842,0.796140,1.000000,0.395802,0.313548,0.254821,0.148809
0.208980,0.193625,0.285442,0.291594,0.399677,0.695310,0.453067,0.737549,1.000000,0.383323,0.282089,0.299656,0.207157
0.232200,0.151208,0.220772,0.284974,0.297039,0.576815,0.333619,0.686818,1.000000,0.333477,0.298188,0.441004,0.266037
0.255420,0.119645,0.169244,0.236646,0.214193,0.535096,0.268527,0.623046,1.000000,0.259761,0.242121,0.370898,0.189557
0.278639,0.090583,0.134279,0.172353,0.170004,0.489592,0.261244,0.565119,1.000000,0.196817,0.198883,0.306553,0.190977
0.301859,0.068464,0.094625,0.163787,0.132923,0.423678,0.218333,0.538989,1.000000,0.153291,0.171302,0.292845,0.193266
0.325079,0.061563,0.076388,0.146452,0.108512,0.375404,0.222433,0.539100,1.000000,0.132623,0.131043,0.278688,0.188085
0.348299,0.063007,0.078893,0.139186,0.091707,0.322595,0.229683,0.539783,1.000000,0.163594,0.099001,0.265248,0.166348
0.371519,0.060069,0.079639,0.160783,0.101781,0.297109,0.223989,0.539768,1.000000,0.187238,0.099940,0.281331,0.157705
0.394739,0.067090,0.093020,0.185316,0.110722,0.272052,0.250993,0.522121,1.000000,0.183246,0.090351,0.291371,0.137151
0.417959,0.086271,0.117259,0.227289,0.143438,0.293824,0.340422,0.566451,1.000000,0.248695,0.106670,0.317055,0.134469
0.441179,0.095522,0.127276,0.216058,0.161769,0.317982,0.302309,0.572791,1.000000,0.260614,0.106784,0.355350,0.155967
0.464399,0.090610,0.129962,0.197221,0.145200,0.273505,0.328151,0.493471,1.000000,0.245440,0.108712,0.320798,0.147904
0.487619,0.087694,0.130541,0.182090,0.128987,0.226148,0.247209,0.379780,1.000000,0.245978,0.090074,0.309225,0.187940
0.510839,0.093199,0.118384,0.155892,0.119322,0.199111,0.203441,0.308343,1.000000,0.196360,0.095484,0.297736,0.191973
0.534059,0.095520,0.106185,0.153008,0.119756,0.197182,0.199242,0.291084,1.000000,0.177473,0.105030,0.281982,0.197086
0.557279,0.116082,0.127787,0.170894,0.122846,0.191105,0.194995,0.289113,1.000000,0.206782,0.127783,0.287971,0.197351
0.580499,0.130334,0.173619,0.212625,0.147707,0.203620,0.216043,0.286652,1.000000,0.202244,0.249693,0.282031,0.200250
0.603719,0.122244,0.144264,0.195405,0.136722,0.226428,0.196509,0.278065,1.000000,0.240908,0.196844,0.272652,0.178869
0.626939,0.101625,0.115862,0.180339,0.117193,0.172348,0.192744,0.276207,1.000000,0.258997,0.137771,0.358103,0.184510
0.650159,0.089307,0.104292,0.174127,0.101975,0.154363,0.151765,0.267951,1.000000,0.228336,0.113020,0.361253,0.206264
0.673379,0.081575,0.091173,0.185345,0.086856,0.129395,0.193417,0.246791,1.000000,0.189272,0.101638,0.362292,0.214167
0.696599,0.083590,0.076936,0.175566,0.078567,0.122177,0.229949,0.226078,1.000000,0.199972,0.092929,0.337849,0.221866
0.719819,0.091389,0.088011,0.196034,0.080476,0.139518,0.228607,0.223201,1.000000,0.194184,0.100325,0.370771,0.232296
0.743039,0.103306,0.093765,0.217988,0.083513,0.151966,0.203550,0.257294,1.000000,0.219034,0.115082,0.362865,0.221054
0.766259,0.126850,0.102357,0.231219,0.100114,0.172010,0.252374,0.318417,1.000000,0.249652,0.117196,0.389857,0.223471
0.789478,0.153069,0.135060,0.242106,0.124281,0.201959,0.353142,0.395526,1.000000,0.265361,0.164128,0.370268,0.217593
0.812698,0.170290,0.184361,0.284609,0.149964,0.224833,0.392253,0.491659,1.000000,0.306492,0.231592,0.366621,0.213247
0.835918,0.154484,0.162919,0.239880,0.156078,0.238593,0.359219,0.569725,1.000000,0.295958,0.244164,0.384062,0.242003
0.859138,0.128275,0.137873,0.230830,0.176984,0.197706,0.395005,0.632913,1.000000,0.258701,0.194772,0.422733,0.256026
0.882358,0.106348,0.136390,0.267837,0.197478,0.240578,0.418841,0.714063,1.000000,0.251659,0.146270,0.412436,0.263818
0.905578,0.111799,0.139337,0.285234,0.225049,0.287036,0.511044,0.800113,1.000000,0.259761,0.160826,0.385227,0.256088
0.928798,0.112583,0.146847,0.268761,0.250492,0.326661,0.530117,0.882641,1.000000,0.252158,0.167845,0.376434,0.244930
0.952018,0.134292,0.178889,0.320391,0.287759,0.396374,0.557556,0.868659,1.000000,0.304267,0.171777,0.343556,0.220863
0.975238,0.118031,0.155509,0.290916,0.234253,0.325601,0.485294,0.851367,1.000000,0.266671,0.172379,0.384631,0.226871
0.998458,0.095651,0.117700,0.226846,0.190242,0.274655,0.425096,0.813718,1.000000,0.205081,0.189852,0.322057,0.184975
1.021678,0.080026,0.093156,0.218735,0.159733,0.230561,0.392190,0.756939,1.000000,0.173037,0.110046,0.332076,0.155663
1.044898,0.072506,0.084024,0.166770,0.129239,0.186910,0.338978,0.721424,1.000000,0.158848,0.116457,0.336118,0.129057
1.068118,0.067018,0.075280,0.191362,0.113704,0.152564,0.296451,0.697498,1.000000,0.184434,0.105074,0.401112,0.148191
1.091338,0.060288,0.075684,0.222945,0.122911,0.162314,0.292746,0.700156,1.000000,0.216744,0.095989,0.420212,0.178786
1.114558,0.070099,0.095440,0.264813,0.144979,0.198986,0.318391,0.687024,1.000000,0.232361,0.131768,0.494838,0.226960
1.137778,0.081866,0.092479,0.268731,0.172746,0.232793,0.394520,0.635886,1.000000,0.253570,0.104116,0.495388,0.238460
1.160998,0.085624,0.095262,0.277169,0.186932,0.241173,0.313192,0.561528,1.000000,0.259801,0.152786,0.489939,0.212661
1.184218,0.064649,0.088893,0.272667,0.164576,0.209594,0.293913,0.433392,1.000000,0.219345,0.099556,0.399296,0.173371
1.207438,0.063010,0.092597,0.237462,0.145637,0.184193,0.248628,0.333413,1.000000,0.202171,0.106482,0.389334,0.144460
1.230658,0.071563,0.103153,0.207995,0.137776,0.166621,0.234075,0.267544,1.000000,0.188079,0.105505,0.377800,0.136979
1.253878,0.092986,0.134876,0.214712,0.130837,0.152490,0.222637,0.231287,1.000000,0.189200,0.117538,0.368244,0.168481
1.277098,0.107626,0.171206,0.242761,0.131907,0.144671,0.222762,0.212938,1.000000,0.246078,0.210145,0.342665,0.199677
1.300317,0.115054,0.175544,0.282346,0.133826,0.195795,0.266167,0.227648,1.000000,0.256450,0.210914,0.357257,0.226448
1.323537,0.108404,0.146539,0.310680,0.132406,0.176636,0.340478,0.197412,1.000000,0.230046,0.204929,0.411580,0.228305
1.346757,0.097869,0.126442,0.282451,0.135343,0.179098,0.293446,0.215016,1.000000,0.220765,0.170110,0.453306,0.218202
1.369977,0.111936,0.130838,0.348566,0.160704,0.225026,0.363718,0.248081,1.000000,0.226691,0.218189,0.487262,0.223533
1.393197,0.128380,0.143534,0.396875,0.182279,0.282927,0.378774,0.276853,1.000000,0.247944,0.188347,0.496377,0.266528
1.416417,0.159473,0.163213,0.431860,0.187235,0.301910,0.401196,0.301567,1.000000,0.246841,0.240880,0.611814,0.294937
1.439637,0.156648,0.193310,0.380183,0.176769,0.295843,0.493847,0.306543,1.000000,0.245591,0.216467,0.685716,0.318133
1.462857,0.179611,0.158341,0.334596,0.170869,0.292913,0.447421,0.311096,1.000000,0.211445,0.168623,0.650688,0.321367
1.486077,0.171423,0.157207,0.403162,0.166214,0.270226,0.453745,0.323364,1.000000,0.206678,0.190937,0.651607,0.294582
1.509297,0.184548,0.233400,0.407376,0.159513,0.247352,0.406758,0.392357,1.000000,0.250045,0.320108,0.570334,0.286076
1.532517,0.168792,0.193065,0.330122,0.178681,0.258727,0.335211,0.466276,1.000000,0.227100,0.273678,0.486182,0.284310
1.555737,0.131651,0.140334,0.379318,0.189347,0.287064,0.431477,0.538808,1.000000,0.208147,0.207412,0.490691,0.265526
1.578957,0.131801,0.129181,0.353621,0.223707,0.339418,0.456377,0.649438,1.000000,0.213062,0.226484,0.483546,0.255826
1.602177,0.145985,0.140696,0.287919,0.265417,0.391998,0.537723,0.750706,1.000000,0.222890,0.243363,0.457844,0.271658
1.625397,0.173463,0.170323,0.314552,0.314074,0.453241,0.521614,0.804967,1.000000,0.266217,0.293763,0.472651,0.263461
1.648617,0.152389,0.153608,0.367607,0.284393,0.402484,0.508740,0.762328,1.000000,0.251613,0.313727,0.474709,0.247423
1.671837,0.127520,0.120761,0.317944,0.222649,0.330070,0.423614,0.715557,1.000000,0.226710,0.236569,0.471796,0.203826
1.695057,0.104263,0.091894,0.290450,0.182367,0.285046,0.320394,0.685740,1.000000,0.186009,0.231769,0.499349,0.190041
1.718277,0.081333,0.078558,0.256983,0.148924,0.229512,0.290584,0.663744,1.000000,0.165167,0.165291,0.422862,0.199658
1.741497,0.073783,0.064959,0.254684,0.122843,0.176258,0.228631,0.639008,1.000000,0.167674,0.179867,0.474047,0.193380
1.764717,0.066317,0.059576,0.232707,0.090506,0.129372,0.202378,0.638283,1.000000,0.185604,0.153837,0.435688,0.187665
1.787937,0.068229,0.068705,0.233025,0.113557,0.143445,0.210218,0.615165,1.000000,0.190568,0.151954,0.506049,0.171857
1.811156,0.065017,0.078210,0.268301,0.136975,0.172551,0.184908,0.593106,1.000000,0.216672,0.188217,0.501914,0.169042
1.834376,0.079275,0.082913,0.335839,0.174528,0.216059,0.256012,0.575117,1.000000,0.290049,0.175343,0.568965,0.158583
1.857596,0.089966,0.098489,0.343505,0.202406,0.249896,0.228557,0.549741,1.000000,0.314957,0.248881,0.537373,0.188159
1.880816,0.103137,0.127788,0.295946,0.231761,0.296090,0.189881,0.510100,1.000000,0.337515,0.287166,0.597872,0.203725
1.904036,0.095559,0.132243,0.300589,0.241415,0.293901,0.174893,0.453619,1.000000,0.331797,0.259882,0.505258,0.226920
