TIME,BIN1,BIN2,BIN3,BIN4,BIN5,BIN6,BIN7,BIN8,BIN9,BIN10,BIN11,BIN12,BIN13,BIN14,BIN15,BIN16,BIN17,BIN18,BIN19,BIN20,BIN21
0.000000,-555.710327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.023220,-555.710327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.046440,-555.710327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.069660,-555.710327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.092880,-555.710327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.116100,-555.710327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.139320,-555.710327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.162540,-341.583984,24.140564,-2.606036,20.892725,33.915581,35.083214,12.626572,-20.266499,-16.556158,1.963509,2.768104,11.647278,0.201809,-20.116302,-5.279154,-10.194637,3.369698,2.151564,-10.431954,6.015027,-15.925838
0.185760,-162.683914,31.314127,-12.799973,21.288631,28.653408,28.376171,12.346930,-9.633343,-13.090897,3.585673,1.076609,11.738676,-7.199044,-5.892419,-0.404288,-8.711274,-4.797826,-4.670806,-15.460289,-1.691435,-14.129634
0.208980,-104.387154,48.262566,-21.050175,22.091164,22.152340,20.709911,10.181635,1.136235,-8.408227,7.095966,-2.574547,6.047330,-7.545494,5.800867,3.041475,-5.900326,-7.823161,-6.417981,-15.565044,-4.631386,-11.126721
0.232200,-102.969002,63.838913,-27.889820,27.451385,16.137074,13.583353,4.940602,4.241645,-0.923848,14.735615,-8.756466,-5.368815,-3.047691,12.224726,-0.524556,-2.531394,-2.717197,-1.713429,-13.667889,-10.026949,-12.885600
0.255420,-137.124374,74.663124,-26.665956,34.277477,17.505194,15.247282,5.729403,5.993918,7.267859,17.876362,-10.200151,-10.243166,-4.821990,14.787632,-1.619735,-1.432286,-1.276282,-0.282647,-14.734613,-12.118473,-15.630034
0.278639,-176.804581,79.124969,-27.112411,31.701233,21.698923,21.802340,7.371687,10.078284,9.190945,17.852879,-14.301805,-15.584504,-5.582796,10.883954,2.308078,-0.376172,-4.065305,-4.498559,-11.609197,-10.148561,-10.453692
0.301859,-192.538132,76.742393,-24.328106,25.980083,23.753494,23.243813,5.514587,8.228020,9.760175,16.102070,-14.825527,-13.013430,-1.428597,12.401919,2.768528,-2.436890,-7.383008,-7.403350,-11.766115,-11.870336,-6.513771
0.325079,-202.364197,78.701538,-28.465466,23.635666,25.917164,27.701874,6.654824,7.000117,3.899722,12.109354,-10.787362,-14.335880,-1.458467,16.091040,-0.704423,-0.361368,-6.243339,-10.597599,-17.303928,-7.477663,-1.982446
0.348299,-209.680939,80.242416,-33.433201,21.474537,27.189625,30.200504,7.006508,7.865502,-0.864673,10.231454,-9.235777,-14.605093,-2.209198,19.483086,-1.922966,2.139671,-8.171986,-14.656116,-17.214338,-4.400065,-4.155682
0.371519,-211.027542,77.573181,-33.491791,16.110760,25.695450,24.136623,3.543317,8.719891,-3.031858,10.564695,-10.995157,-15.061722,-6.439795,16.884464,-4.342819,-2.992708,-7.932036,-15.338223,-13.156279,-5.657200,-6.313544
0.394739,-207.859833,78.304657,-35.184982,13.449399,24.188047,18.696095,-0.740418,3.990722,-4.971241,9.552307,-9.771732,-13.728138,-8.854731,13.518749,-6.513969,-4.837595,-11.027298,-13.826965,-11.974236,-8.464571,-7.486484
