TIME,C,C#,D,Eb,E,F,F#,G,Ab,A,Bb,B
0.000000,0.075900,0.053112,0.242083,0.953700,0.696658,0.439571,1.000000,0.646215,0.702436,0.925371,0.490628,0.196139
0.023220,0.058864,0.044540,0.184071,0.843046,0.586686,0.329214,1.000000,0.444388,0.585165,0.866431,0.411246,0.113797
0.046440,0.079421,0.042803,0.192912,0.836455,0.568108,0.352791,1.000000,0.452431,0.537927,0.824732,0.442693,0.126510
0.069660,0.100806,0.070038,0.270969,0.964825,0.653974,0.477268,1.000000,0.551474,0.538455,0.839980,0.555001,0.188102
0.092880,0.098948,0.097384,0.327344,1.000000,0.797270,0.588086,0.708943,0.493906,0.457985,0.781883,0.531322,0.209656
0.116100,0.098584,0.112102,0.399347,1.000000,0.885990,0.584130,0.749352,0.456950,0.418967,0.809273,0.463738,0.288045
0.139320,0.197822,0.148283,0.461582,0.990173,0.987579,0.563925,1.000000,0.423084,0.414602,0.933941,0.478306,0.410339
0.162540,0.223752,0.155962,0.422470,0.889694,0.949150,0.597268,1.000000,0.544506,0.553762,0.872889,0.451149,0.322617
0.185760,0.243102,0.177374,0.390973,0.947767,0.924142,0.657910,1.000000,0.782980,0.838021,0.912996,0.536240,0.222008
0.208980,0.316769,0.255796,0.448440,1.000000,0.913832,0.597212,0.723663,0.805800,0.962054,0.721930,0.507622,0.195629
0.232200,0.324528,0.339008,0.523667,1.000000,0.827514,0.490205,0.567718,0.640342,0.864297,0.613524,0.382081,0.247369
0.255420,0.391933,0.435355,0.554570,1.000000,0.690224,0.428950,0.681174,0.441141,0.644316,0.566381,0.358961,0.216552
0.278639,0.385970,0.476883,0.624488,1.000000,0.627173,0.379654,0.816688,0.345576,0.518834,0.456520,0.364720,0.123832
0.301859,0.353604,0.456078,0.608749,1.000000,0.510556,0.358989,0.768915,0.418889,0.349369,0.329516,0.271468,0.102004
0.325079,0.308455,0.420629,0.598464,1.000000,0.475121,0.315359,0.566862,0.449692,0.193495,0.231338,0.208428,0.094709
0.348299,0.261342,0.390562,0.558737,1.000000,0.587753,0.270096,0.276186,0.364496,0.129101,0.157323,0.127425,0.062744
0.371519,0.220181,0.358061,0.507608,1.000000,0.777819,0.412605,0.124271,0.198682,0.147324,0.134460,0.088768,0.049466
0.394739,0.193105,0.331564,0.455301,1.000000,0.985576,0.647771,0.373860,0.110865,0.126362,0.118578,0.101930,0.034649
0.417959,0.151363,0.255741,0.355484,0.834318,1.000000,0.760711,0.537908,0.238721,0.090072,0.072068,0.080082,0.026480
0.441179,0.122333,0.205853,0.284794,0.708622,1.000000,0.847051,0.639040,0.363911,0.114262,0.053761,0.054496,0.018054
0.464399,0.098766,0.170316,0.230951,0.614675,1.000000,0.915590,0.704726,0.455740,0.186547,0.088407,0.043774,0.015049
0.487619,0.084245,0.142981,0.188813,0.540352,1.000000,0.974088,0.741190,0.526231,0.274756,0.142570,0.060098,0.020688
0.510839,0.080011,0.123808,0.157515,0.470507,0.980339,1.000000,0.743749,0.566955,0.356844,0.196640,0.089277,0.030358
0.534059,0.077854,0.111262,0.132165,0.409053,0.943511,1.000000,0.722341,0.585329,0.423382,0.239397,0.115424,0.041636
0.557279,0.076007,0.102489,0.112120,0.361285,0.916103,1.000000,0.695329,0.594172,0.485554,0.277405,0.136235,0.054835
0.580499,0.074419,0.098217,0.103833,0.324896,0.898251,1.000000,0.668795,0.596461,0.540904,0.311566,0.153065,0.070336
0.603719,0.070491,0.096165,0.103446,0.298738,0.881372,1.000000,0.639629,0.594495,0.587668,0.338196,0.164098,0.086847
0.626939,0.066206,0.097948,0.107854,0.282514,0.870690,1.000000,0.613901,0.588554,0.629656,0.362987,0.170490,0.105458
0.650159,0.062799,0.101484,0.115954,0.271729,0.859667,1.000000,0.593831,0.585611,0.664380,0.382123,0.174848,0.123088
0.673379,0.063113,0.108023,0.124748,0.266018,0.853972,1.000000,0.581376,0.594590,0.706464,0.407639,0.177072,0.140722
0.696599,0.068759,0.115530,0.134699,0.263308,0.849519,1.000000,0.574789,0.611341,0.752824,0.439797,0.181015,0.157669
0.719819,0.078160,0.127145,0.146175,0.263436,0.847352,1.000000,0.570197,0.630384,0.799695,0.473630,0.189912,0.173170
0.743039,0.094108,0.140851,0.166927,0.279921,0.859594,1.000000,0.565625,0.646216,0.840839,0.503228,0.201872,0.195335
0.766259,0.109669,0.148774,0.188355,0.308408,0.872512,1.000000,0.568434,0.652082,0.854944,0.513944,0.208326,0.216856
0.789478,0.125545,0.150890,0.204426,0.343102,0.885083,1.000000,0.586119,0.657964,0.855816,0.514340,0.208646,0.238838
0.812698,0.144072,0.155622,0.217446,0.377704,0.895760,1.000000,0.616163,0.667197,0.847386,0.519216,0.216157,0.266065
0.835918,0.165996,0.179086,0.236687,0.411195,0.899733,1.000000,0.654722,0.695400,0.857251,0.549773,0.250102,0.300988
0.859138,0.230621,0.267177,0.315010,0.506968,0.918817,1.000000,0.689309,0.735548,0.892517,0.627918,0.342725,0.361752
0.882358,0.260456,0.237638,0.261362,0.475650,0.906137,1.000000,0.679438,0.715549,0.867396,0.596675,0.338046,0.373908
0.905578,0.283983,0.234868,0.256751,0.477791,0.932992,1.000000,0.669045,0.699512,0.872433,0.581444,0.330572,0.391362
0.928798,0.295929,0.225748,0.244527,0.448934,0.923714,1.000000,0.628314,0.643166,0.870465,0.578220,0.331542,0.384483
0.952018,0.292530,0.207528,0.226705,0.409508,0.903268,1.000000,0.575368,0.604882,0.875229,0.571660,0.313153,0.384983
0.975238,0.295807,0.194319,0.202755,0.361948,0.876877,1.000000,0.499400,0.560388,0.869975,0.561496,0.292508,0.372976
0.998458,0.287943,0.176149,0.183419,0.303430,0.872141,1.000000,0.427454,0.513699,0.844884,0.560365,0.261774,0.342068
1.021678,0.269361,0.162693,0.172308,0.279719,0.894843,1.000000,0.382031,0.484205,0.818775,0.560320,0.247080,0.314210
1.044898,0.247626,0.151873,0.161863,0.277984,0.934283,1.000000,0.349250,0.457184,0.798300,0.571059,0.251720,0.288369
1.068118,0.228632,0.141121,0.148236,0.286778,0.980719,1.000000,0.320457,0.427306,0.772207,0.587711,0.261986,0.254559
1.091338,0.208899,0.127970,0.133036,0.287598,1.000000,0.977035,0.283697,0.385514,0.720744,0.582847,0.265292,0.219899
1.114558,0.185071,0.119802,0.118231,0.282688,1.000000,0.941551,0.247099,0.345800,0.664933,0.565083,0.266323,0.192422
1.137778,0.165841,0.111044,0.106562,0.276008,1.000000,0.905909,0.218953,0.317205,0.618053,0.549588,0.266389,0.172042
1.160998,0.152216,0.098350,0.098978,0.267468,1.000000,0.869346,0.201396,0.294423,0.574019,0.533744,0.261681,0.152183
1.184218,0.136095,0.085412,0.092746,0.261437,1.000000,0.836534,0.206000,0.271806,0.529668,0.521486,0.254451,0.133673
1.207438,0.118317,0.073237,0.085756,0.260002,1.000000,0.805499,0.215598,0.250394,0.483025,0.507250,0.248628,0.113871
1.230658,0.099674,0.064502,0.078684,0.256641,1.000000,0.770275,0.227688,0.227171,0.433297,0.490007,0.242351,0.092998
1.253878,0.082377,0.058999,0.070107,0.247448,1.000000,0.725824,0.244982,0.204274,0.384140,0.468520,0.234424,0.071038
1.277098,0.068519,0.055706,0.063108,0.233709,1.000000,0.678081,0.272521,0.184641,0.340128,0.445548,0.224872,0.053712
1.300317,0.058786,0.055173,0.063122,0.217258,1.000000,0.637085,0.306981,0.196896,0.318388,0.421189,0.215437,0.045350
1.323537,0.053900,0.058223,0.070013,0.200252,1.000000,0.624598,0.348407,0.235179,0.336949,0.398751,0.210257,0.045245
1.346757,0.052399,0.067607,0.083408,0.188000,1.000000,0.646488,0.399132,0.282001,0.390469,0.383747,0.207510,0.052635
1.369977,0.052745,0.081629,0.105397,0.186523,1.000000,0.700975,0.462502,0.349174,0.480116,0.386842,0.203311,0.066603
1.393197,0.059625,0.098887,0.132758,0.189990,1.000000,0.785155,0.534947,0.431787,0.595862,0.413742,0.199211,0.087194
1.416417,0.069119,0.123032,0.167166,0.196178,1.000000,0.879709,0.603872,0.516482,0.721752,0.456091,0.211460,0.109834
1.439637,0.075946,0.146962,0.208177,0.219954,1.000000,0.961679,0.652924,0.583889,0.821099,0.490235,0.219525,0.130063
1.462857,0.084214,0.158147,0.237492,0.257672,0.978027,1.000000,0.680150,0.616507,0.859736,0.495160,0.215745,0.147950
1.486077,0.101929,0.160148,0.252046,0.291352,0.938935,1.000000,0.697698,0.623826,0.852793,0.478717,0.207838,0.175301
1.509297,0.129400,0.164683,0.262017,0.325104,0.909487,1.000000,0.726231,0.630307,0.839074,0.474846,0.212253,0.208952
1.532517,0.172778,0.203461,0.288465,0.370634,0.884090,1.000000,0.744248,0.630224,0.821361,0.498314,0.247521,0.248570
1.555737,0.295167,0.342487,0.390867,0.458628,0.873479,1.000000,0.742952,0.664989,0.798020,0.558473,0.344976,0.358643
1.578957,0.274555,0.274168,0.321128,0.465467,0.871543,1.000000,0.768043,0.607881,0.801891,0.541075,0.305904,0.352440
1.602177,0.265639,0.285681,0.331371,0.435835,0.897818,1.000000,0.815727,0.617212,0.853635,0.534844,0.308892,0.327246
1.625397,0.284699,0.270966,0.337782,0.433624,0.858901,1.000000,0.800836,0.650056,0.882495,0.546326,0.290152,0.342493
1.648617,0.271556,0.239202,0.330631,0.355914,0.834040,1.000000,0.718751,0.624609,0.861036,0.545579,0.249479,0.321183
1.671837,0.241809,0.220747,0.312070,0.318648,0.836147,1.000000,0.639830,0.567598,0.868150,0.544723,0.213301,0.305018
1.695057,0.263999,0.228414,0.275925,0.246299,0.846041,1.000000,0.579410,0.495665,0.824499,0.546492,0.180774,0.288088
1.718277,0.224549,0.197586,0.253480,0.225787,0.869122,1.000000,0.531549,0.444210,0.797899,0.534925,0.161607,0.259920
1.741497,0.206168,0.182326,0.247042,0.230526,0.917134,1.000000,0.486580,0.414720,0.774689,0.533474,0.165268,0.233334
1.764717,0.184235,0.169391,0.232648,0.241924,0.955725,1.000000,0.457987,0.379785,0.746786,0.518041,0.172278,0.201208
1.787937,0.150222,0.161940,0.214948,0.252440,0.987798,1.000000,0.424577,0.338751,0.710283,0.515875,0.182274,0.169644
1.811156,0.124733,0.156094,0.190442,0.252291,1.000000,0.967866,0.391282,0.294621,0.658818,0.491227,0.181421,0.143462
1.834376,0.110473,0.140646,0.173524,0.257911,1.000000,0.930326,0.370526,0.260929,0.617772,0.473282,0.169216,0.117683
1.857596,0.098845,0.121368,0.152535,0.250575,1.000000,0.884229,0.347250,0.236736,0.574560,0.456946,0.163264,0.103375
1.880816,0.089032,0.105852,0.137162,0.249686,1.000000,0.844687,0.333027,0.232513,0.533408,0.443568,0.160826,0.092852
1.904036,0.076494,0.090805,0.120228,0.250773,1.000000,0.810521,0.323804,0.234642,0.486697,0.432908,0.153797,0.079741
1.927256,0.062526,0.079817,0.103170,0.252327,1.000000,0.762108,0.318202,0.234807,0.435010,0.406773,0.150018,0.067822
1.950476,0.051826,0.072414,0.084521,0.243703,1.000000,0.702997,0.320809,0.237112,0.382237,0.377503,0.145896,0.056392
1.973696,0.047358,0.064030,0.069655,0.229229,1.000000,0.645496,0.331320,0.246301,0.337735,0.351312,0.145285,0.051590
1.996916,0.048093,0.059339,0.064882,0.213337,1.000000,0.581233,0.350619,0.262224,0.308854,0.320305,0.138591,0.050320
2.020136,0.053972,0.060590,0.069992,0.199521,1.000000,0.562861,0.377544,0.285140,0.310775,0.292330,0.136680,0.056857
2.043356,0.058341,0.071020,0.086479,0.190991,1.000000,0.596344,0.418751,0.315877,0.347004,0.267679,0.140597,0.070778
2.066576,0.061608,0.084831,0.107942,0.198145,1.000000,0.660645,0.475905,0.369818,0.418894,0.258660,0.144339,0.087562
2.089796,0.067164,0.100458,0.135517,0.214187,1.000000,0.751777,0.540137,0.443869,0.520537,0.271087,0.153699,0.109849
2.113016,0.074344,0.120269,0.165148,0.230340,1.000000,0.852885,0.608181,0.526244,0.637784,0.311210,0.175857,0.133355
